nodeKey,collection,pali_name,sinhala_name,sutta_count,min_sutta_chars,max_sutta_chars,total_vagga_chars,chapter_url,content_file
an-1-1,an,1. චිත්තපරියාදානවග්ගො,1. චිත්තපරියාදාන වර්‍ගය,10,353,862,4401,/tipitaka/an-1-1,an-1
an-1-15,an,15. අට්ඨානපාළි,15. අට්ඨාන පාළිය,22,379,843,11905,/tipitaka/an-1-15,an-1
an-1-16-3,an,3. තතියොවග්ගො,3. තෙවන වර්‍ගය,14,246,861,6101,/tipitaka/an-1-16-3,an-1
an-1-16-4,an,4. ජම්බුදීපපෙය්යාලො,4. ජම්බුදීපපෙය්‍යාලය,25,291,907,11895,/tipitaka/an-1-16-4,an-1
an-1-2,an,2. නීවරණප්පහානවග්ගො,2. නීවරණප්‍රහාණ වර්‍ගය,10,566,866,6756,/tipitaka/an-1-2,an-1
an-1-3,an,3. අකම්මනියවග්ගො,3. අකර්‍මණ්‍ය වර්‍ගය,10,302,443,3639,/tipitaka/an-1-3,an-1
an-1-4,an,4. අදන්තවග්ගො,4. අදන්ත වර්‍ගය,10,314,467,3556,/tipitaka/an-1-4,an-1
an-1-5,an,5. සූකවග්ගො,5. ශුක වර්‍ගය,10,197,999,6677,/tipitaka/an-1-5,an-1
an-1-6,an,6. පභස්සරවග්ගො,6. ප්‍රභාස්වර වර්‍ගය,10,321,524,4391,/tipitaka/an-1-6,an-1
an-1-7,an,7. වීරියාරම්භවග්ගො,7. වීර්‍ය්‍යාරම්භ වර්‍ගය,10,506,549,5314,/tipitaka/an-1-7,an-1
an-1-8,an,8. කල්යාණමිත්තවග්ගො,8. කල්‍යාණමිත්‍ර වර්‍ගය,11,259,682,5314,/tipitaka/an-1-8,an-1
an-1-9,an,9. පමාදවග්ගො,9. ප්‍රමාද වර්‍ගය,16,304,503,5501,/tipitaka/an-1-9,an-1
an-10-3-3,an,3. පරිසුද්ධවග්ගො,3. පරිශුද්ධ වර්‍ගය,11,398,776,6296,/tipitaka/an-10-3-3,an-10-3
an-10-3-4,an,4. සාධුවග්ගො,4. සාධු වර්‍ගය,11,500,1127,6893,/tipitaka/an-10-3-4,an-10-3
an-10-3-5,an,5. අරියවග්ගො,5. අරිය වර්‍ගය,10,526,770,6335,/tipitaka/an-10-3-5,an-10-3
an-10-4-3,an,3. සාධුවග්ගො,3. සාධු වර්‍ගය,11,492,1225,6876,/tipitaka/an-10-4-3,an-10-4
an-10-4-4,an,4. අරියමග්ගවග්ගො,4. අරියමග්ග වර්‍ගය,10,545,763,6424,/tipitaka/an-10-4-4,an-10-4
an-10-5-3,an,3. රාගාදිපෙය්යාලං,3. රාගාදිපෙය්‍යාලය,28,64,584,4132,/tipitaka/an-10-5-3,an-10-5
an-2-1-3,an,3. බාලවග්ගො,3. බාල වර්‍ගය,12,219,1173,6212,/tipitaka/an-2-1-3,an-2
an-2-16,an,16. කොධවග්ගො,16. ක්‍රෝධ වර්‍ගය,10,428,864,6322,/tipitaka/an-2-16,an-2
an-2-2-10,an,10. බාලවග්ගො,10. බාල වර්‍ගය,20,298,443,7146,/tipitaka/an-2-2-10,an-2
an-2-2-7,an,7. සුඛවග්ගො,7. සුඛ වර්‍ගය,13,356,534,5438,/tipitaka/an-2-2-7,an-2
an-2-2-8,an,8. සනිමිත්තවග්ගො,8. සනිමිත්ත වර්‍ගය,10,270,382,2943,/tipitaka/an-2-2-8,an-2
an-2-2-9,an,9. ධම්මවග්ගො,9. ධර්‍ම වර්‍ගය,11,238,319,3030,/tipitaka/an-2-2-9,an-2
