# 1250 BJT suttas with NO clean 1:1 on Mahamevnawa, grouped by reason.
# Regenerated by build_map.py on every run -- do not hand-edit (edits are overwritten).
# Nearly all are peyyala: repetition series Mahamevnawa bundles onto fewer pages.

# === region-mismatch  (62) ===
#   MIXED region. The two editions enumerate this stretch with different sutta counts, so the positional step skips the WHOLE region. Most are peyyala, but a minority are ordinary suttas that DO have a separate Mahamevnawa page (e.g. an-10-3-2 අජිත, sn-2-6-1 විඤ්ඤාණ) -- collateral of a spelling-variant vagga name; recoverable with finer per-title alignment, still link-gated. NOT all peyyala.
an-2-16-1	2. 16. 1-5
an-2-16-2	2. 16. 6-10
an-2-16-3	2. 16. 11-15
an-2-16-4	2. 16. 16-20
an-2-16-5	2. 16. 21-25
an-2-16-6	2. 16. 26-30
an-2-16-7	2. 16. 31-35
an-2-16-8	2. 16. 36-40
an-2-16-9	2. 16. 41-45
an-2-16-10	2. 16. 46-50
an-10-3-2-1	පඨම අධම්ම සුත්තං
an-10-3-2-2	දුතිය අධම්ම සුත්තං
an-10-3-2-3	තතිය අධම්ම සුත්තං
an-10-3-2-4	අජිත සුත්තං
an-10-3-2-5	සඞ්ගාරව සුත්තං
an-10-3-2-6	ඔරිමතීර සුත්තං
an-10-3-2-7	පඨම පච්චොරොහණී සුත්තං
an-10-3-2-8	දුතිය පච්චොරොහණී සුත්තං
an-10-3-2-9	පුබ්බඞ්ගම සුත්තං
an-10-3-2-10	ආසවක්ඛය සුත්තං
an-10-5-3-1	10. 5. 3. 1
an-10-5-3-2	10. 5. 3. 2
an-10-5-3-3	10. 5. 3. 3
an-10-5-3-4	10. 5. 3. 4-6
an-10-5-3-5	10. 5. 3. 7-9
an-10-5-3-6	10. 5. 3. 10-12
an-10-5-3-7	10. 5. 3. 13-15
an-10-5-3-8	10. 5. 3. 16-18
an-10-5-3-9	10. 5. 3. 19-21
an-10-5-3-10	10. 5. 3. 22-24
an-10-5-3-11	10. 5. 3. 25-27
an-10-5-3-12	10. 5. 3. 28-30
